Index,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,Alt,Temp
402,-0.393816,0.064416,0.917440,57.799999,0.000000,23.000000,22,17,8,50.687500,"33.000000
"
403,-0.446032,0.056608,0.890112,58.700001,2.000000,20.900000,-9,182,-26,53.875000,"33.937500
"
404,-0.445544,0.058072,0.881328,59.299999,0.700000,23.299999,27,-28,-12,53.875000,"33.937500
"
405,-0.459696,0.053680,0.887184,59.200001,3.000000,20.000000,18,-25,-10,53.875000,"33.937500
"
406,-0.457744,0.052704,0.878400,60.299999,0.600000,21.200001,31,13,-14,54.437500,"33.937500
"
407,-0.463600,0.052704,0.889136,59.500000,1.700000,21.700001,45,-30,-10,54.437500,"33.937500
"
408,-0.461648,0.050752,0.881328,59.299999,1.200000,23.799999,39,-7,-5,54.437500,"33.937500
"
409,-0.470920,0.047824,0.872056,59.599998,2.800000,21.900000,11,3,6,53.187500,"33.000000
"
410,-0.443104,0.061000,0.899872,59.099998,1.600000,22.900000,65,-145,7,53.187500,"33.000000
"
411,-0.410896,0.067344,0.906704,59.000000,0.900000,22.900000,26,-62,10,53.187500,"33.000000
"
412,-0.397232,0.066368,0.910608,58.200001,1.300000,22.600000,2,77,-3,56.500000,"33.937500
"
413,-0.427976,0.053680,0.900848,58.299999,0.000000,21.500000,-9,129,-17,56.500000,"33.937500
"
414,-0.452376,0.051728,0.887184,59.700001,1.000000,20.900000,32,-10,11,56.500000,"33.000000
"
415,-0.453840,0.053680,0.890112,60.000000,1.200000,21.500000,26,-6,-9,55.437500,"33.937500
"
416,-0.458232,0.059048,0.885232,59.700001,1.800000,23.799999,11,-14,6,55.437500,"33.000000
"
417,-0.454328,0.055632,0.881328,60.400002,0.600000,20.299999,11,22,-5,55.437500,"33.937500
"
418,-0.462624,0.050752,0.882304,59.200001,2.100000,22.100000,12,8,3,53.062500,"33.000000
"
419,-0.468480,0.047824,0.884256,61.200001,3.100000,19.799999,17,-6,-8,53.062500,"33.937500
"
420,-0.468480,0.054656,0.879376,59.900002,2.100000,18.000000,46,-6,6,53.062500,"33.000000
"
421,-0.461648,0.049776,0.872056,61.299999,2.700000,21.400000,39,-7,-1,50.750000,"33.937500
"
422,-0.467504,0.058072,0.880352,60.900002,1.900000,20.900000,19,-24,12,50.750000,"33.000000
"
423,-0.462136,0.053680,0.886208,61.000000,0.800000,19.100000,33,-13,-12,50.750000,"33.937500
"
424,-0.455792,0.050752,0.879376,59.099998,1.800000,20.299999,23,-1,-1,55.187500,"33.937500
"
